eventId,wr,top001,top1,top5,top10,top20,top50,slowest,cnt
222,88,148,245,362,433,535,826,44211,162807
333,391,667,858,1122,1327,1667,2874,52507,249333
444,1917,2472,2971,3655,4125,4784,6566,48311,48589
555,3476,4337,5210,6311,7111,8217,10891,113500,23515
666,6566,7523,9069,10979,12301,14151,18815,100300,10951
777,9968,11094,13483,16395,18222,21035,27440,126100,8432
333bf,1200,1488,1946,3535,5306,8493,17572,141100,10830
333fm,1967,2033,2200,2700,2967,3333,4033,8000,5145
333oh,772,981,1270,1632,1885,2287,3349,44444,51417
clock,228,307,415,614,767,985,1592,17481,20086
minx,2536,3156,4026,5204,6027,7354,10579,69100,18050
pyram,115,202,336,561,715,915,1365,32628,111368
skewb,137,232,358,521,639,830,1352,26547,62628
sq1,463,621,845,1211,1515,2015,3350,39881,16833
444bf,5196,5196,10197,15245,20690,29500,53748,353400,1898
555bf,12333,12333,19572,32808,42273,58293,106200,927600,992
333mbf,390359003,430360404,680330201,800350602,860300000,900343300,960110700,990360006,3799
